feature,importance_mean,importance_std
emb_27,9.573505183047004e-18,0.014256252689284812
ACC__partial_autocorrelation__lag_0,0.0,0.0
ACC__autocorrelation__lag_0,0.0,0.0
ACC__variance_larger_than_standard_deviation,0.0,0.0
emb_13,-0.00011111111111110835,0.015000617271249817
emb_14,-0.0004999999999999835,0.011802646700456738
emb_10,-0.0006111111111110994,0.004869912666846919
emb_6,-0.0009444444444444321,0.015613582248071184
emb_40,-0.0012777777777777672,0.020119703505166335
emb_26,-0.00144444444444443,0.008979400293428804
emb_35,-0.0016666666666666611,0.014403788939111444
emb_52,-0.0017777777777777646,0.008215086994121695
ACC__approximate_entropy__m_2__r_0.3,-0.0018333333333333274,0.007661028522639197
emb_41,-0.0018888888888888664,0.018067431991443374
emb_32,-0.0021666666666666544,0.008886110676947627
emb_16,-0.002333333333333327,0.018179998506023375
emb_57,-0.003333333333333313,0.01850675552332172
ACC__approximate_entropy__m_2__r_0.1,-0.00349999999999998,0.009528385144230359
emb_63,-0.004055555555555549,0.020782976176799896
ACC__partial_autocorrelation__lag_5,-0.004333333333333316,0.028712388172492727
emb_53,-0.004388888888888885,0.00788888888888888
emb_1,-0.004444444444444423,0.01250185171469793
emb_39,-0.004499999999999985,0.00989200949513553
emb_22,-0.0048333333333333275,0.007844161153210122
"ACC__agg_autocorrelation__f_agg_""median""__maxlag_40",-0.005166666666666646,0.0079942108683351
ACC__autocorrelation__lag_7,-0.005166666666666656,0.011159063193567118
emb_54,-0.005222222222222203,0.02091679577944508
emb_4,-0.005222222222222206,0.011612838786935687
emb_3,-0.005333333333333313,0.017835323530345556
emb_5,-0.005333333333333317,0.012632507546547506
ACC__fourier_entropy__bins_100,-0.005444444444444427,0.007691184628368642
ACC__time_reversal_asymmetry_statistic__lag_3,-0.00577777777777776,0.041051533406947505
emb_56,-0.005833333333333313,0.01428220856455614
ACC__time_reversal_asymmetry_statistic__lag_1,-0.005833333333333331,0.005516529594358407
ACC__autocorrelation__lag_8,-0.0058888888888888715,0.011090814796015022
emb_31,-0.005944444444444431,0.01982687414272871
emb_62,-0.006222222222222216,0.013491652654809361
ACC__autocorrelation__lag_9,-0.0062777777777777615,0.0106915219672088
"ACC__agg_autocorrelation__f_agg_""mean""__maxlag_40",-0.006666666666666647,0.008801655287641567
emb_38,-0.006722222222222217,0.009642370488732274
emb_7,-0.006777777777777759,0.018393503952600216
emb_51,-0.007055555555555535,0.015398613052824486
emb_48,-0.007166666666666664,0.0026724474379568367
ACC__fourier_entropy__bins_10,-0.007333333333333322,0.027549954627911804
emb_12,-0.007777777777777764,0.009652927656710107
emb_36,-0.008333333333333323,0.022227082801765562
ACC__autocorrelation__lag_6,-0.008388888888888871,0.00782604073464013
"ACC__agg_autocorrelation__f_agg_""var""__maxlag_40",-0.009277777777777777,0.01578071177727833
ACC__variation_coefficient,-0.009944444444444426,0.020630793238012684
emb_55,-0.009999999999999985,0.019866063873529644
emb_60,-0.010388888888888885,0.01084771125658185
ACC__autocorrelation__lag_5,-0.010555555555555537,0.006365900671391635
emb_17,-0.010555555555555549,0.014112642086677682
emb_8,-0.010944444444444427,0.011436350967716493
ACC__autocorrelation__lag_4,-0.01099999999999998,0.008504900548115361
ACC__partial_autocorrelation__lag_9,-0.011499999999999988,0.010600197994889727
emb_37,-0.012111111111111097,0.01599247508233978
emb_29,-0.012722222222222204,0.02775910483489276
ACC__autocorrelation__lag_3,-0.013388888888888876,0.006400713694774116
ACC__sample_entropy,-0.013833333333333314,0.018790101150195207
ACC__autocorrelation__lag_2,-0.01394444444444442,0.014319329938113122
emb_2,-0.014222222222222206,0.009221887544127992
emb_49,-0.014388888888888873,0.01948994675958243
emb_20,-0.014444444444444426,0.02460113918871878
emb_45,-0.01522222222222221,0.01725480788249257
emb_18,-0.01572222222222221,0.014624518563353677
emb_50,-0.017222222222222205,0.018081605140154042
ACC__partial_autocorrelation__lag_2,-0.02194444444444443,0.026802892786570522
ACC__autocorrelation__lag_1,-0.022388888888888868,0.01992857616961501
ACC__partial_autocorrelation__lag_1,-0.022388888888888868,0.01992857616961501
ACC__partial_autocorrelation__lag_3,-0.039111111111111097,0.039450469023483606
